attack,clf,eps,n,evasion_rate,time_s
random,rf,0.05,45332,0.010345892526250773,0.8
random,rf,0.1,45332,0.008294361598870556,0.8
random,rf,0.3,45332,0.01541957116385776,0.8
random,mlp,0.05,45332,0.03328774375716933,0.8
random,mlp,0.1,45332,0.04063354804553075,0.5
random,mlp,0.3,45332,0.09999558810553251,0.6
fgsm,rf,0.05,1000,0.011,33.2
fgsm,rf,0.1,1000,0.012,20.5
fgsm,rf,0.3,1000,0.018,36.9
fgsm,mlp,0.05,1000,0.554,0.7
fgsm,mlp,0.1,1000,0.714,0.4
fgsm,mlp,0.3,1000,0.831,0.4
pgd,rf,0.1,500,0.012,108.5
pgd,rf,0.3,500,0.008,96.1
pgd,mlp,0.1,500,0.744,2.0
pgd,mlp,0.3,500,0.85,2.3
hsj,rf,qry,200,0.0,341.3
hsj,mlp,qry,200,0.0,5.5
