attack,clf,eps,n,evasion_rate,time_s
random,rf,0.05,288923,0.7317209083389,3.0
random,rf,0.1,288923,0.7516708604022525,4.4
random,rf,0.3,288923,0.826351657708109,4.3
random,mlp,0.05,288923,0.6772461867002627,4.1
random,mlp,0.1,288923,0.677173502974841,4.0
random,mlp,0.3,288923,0.6752733427245321,3.8
fgsm,rf,0.05,1000,1.0,18.2
fgsm,rf,0.1,1000,1.0,17.5
fgsm,rf,0.3,1000,1.0,17.4
fgsm,mlp,0.05,1000,1.0,0.4
fgsm,mlp,0.1,1000,1.0,0.4
fgsm,mlp,0.3,1000,1.0,0.4
pgd,rf,0.1,500,1.0,86.9
pgd,rf,0.3,500,1.0,88.3
pgd,mlp,0.1,500,1.0,1.8
pgd,mlp,0.3,500,1.0,1.7
hsj,rf,qry,200,1.0,454.3
hsj,mlp,qry,200,0.555,9.1
