attack,clf,eps_tag,n_total,evasion_rate,vr_all,vr_evading,dr,clf_only_tpr,combined_tpr,etr,evasion_rate_pct,vr_all_pct,vr_evading_pct,dr_pct,clf_only_tpr_pct,combined_tpr_pct,etr_pct
fgsm,mlp,eps0p050,1000,1.0,0.192,0.192,0.192,0.0,0.19199999999999995,0.808,100.0,19.2,19.2,19.2,0.0,19.2,80.8
fgsm,mlp,eps0p100,1000,1.0,0.22,0.22,0.22,0.0,0.21999999999999997,0.78,100.0,22.0,22.0,22.0,0.0,22.0,78.0
fgsm,mlp,eps0p300,1000,1.0,0.655,0.655,0.655,0.0,0.655,0.345,100.0,65.5,65.5,65.5,0.0,65.5,34.5
fgsm,rf,eps0p050,1000,1.0,0.025,0.025,0.025,0.0,0.025000000000000022,0.975,100.0,2.5,2.5,2.5,0.0,2.5,97.5
fgsm,rf,eps0p100,1000,1.0,0.099,0.099,0.099,0.0,0.09899999999999998,0.901,100.0,9.9,9.9,9.9,0.0,9.9,90.1
fgsm,rf,eps0p300,1000,1.0,0.179,0.179,0.179,0.0,0.17900000000000005,0.821,100.0,17.9,17.9,17.9,0.0,17.9,82.1
hsj,mlp,n200,200,0.555,0.445,0.0,0.0,0.44499999999999995,0.44499999999999995,0.555,55.5,44.5,0.0,0.0,44.5,44.5,55.5
hsj,rf,n200,200,1.0,0.005,0.005,0.005,0.0,0.0050000000000000044,0.995,100.0,0.5,0.5,0.5,0.0,0.5,99.5
pgd,mlp,eps0p100,500,1.0,0.162,0.162,0.162,0.0,0.16200000000000003,0.838,100.0,16.2,16.2,16.2,0.0,16.2,83.8
pgd,mlp,eps0p300,500,1.0,0.622,0.622,0.622,0.0,0.622,0.378,100.0,62.2,62.2,62.2,0.0,62.2,37.8
pgd,rf,eps0p100,500,1.0,0.106,0.106,0.106,0.0,0.10599999999999998,0.894,100.0,10.6,10.6,10.6,0.0,10.6,89.4
pgd,rf,eps0p300,500,1.0,0.12,0.12,0.12,0.0,0.12,0.88,100.0,12.0,12.0,12.0,0.0,12.0,88.0
random,mlp,eps0p050,288923,0.6772461867002627,0.9637688934421974,0.9757246821211006,0.9757246821211006,0.3227538132997373,0.9835596335355787,0.0164403664644213,67.72,96.38,97.57,97.57,32.28,98.36,1.64
random,mlp,eps0p100,288923,0.677173502974841,0.9817909962169852,0.9877690377253374,0.9877690377253374,0.322826497025159,0.9917175164317136,0.00828248356828639,67.72,98.18,98.78,98.78,32.28,99.17,0.83
random,mlp,eps0p300,288923,0.6752733427245321,0.9937872720413398,0.9957150618650757,0.9957150618650757,0.3247266572754679,0.9971064955022618,0.0028935044977381236,67.53,99.38,99.57,99.57,32.47,99.71,0.29
random,rf,eps0p050,288923,0.7317347528580279,0.9637688934421974,0.9856301586926188,0.9856301586926188,0.2682652471419721,0.9894850877223343,0.010514912277665642,73.17,96.38,98.56,98.56,26.83,98.95,1.05
random,rf,eps0p100,288923,0.7516812437915985,0.9817909962169852,0.9920526020130952,0.9920526020130952,0.2483187562084015,0.9940260899962966,0.005973910003703448,75.17,98.18,99.21,99.21,24.83,99.4,0.6
random,rf,eps0p300,288923,0.8262928185018154,0.9937872720413398,0.9963767357111442,0.9963767357111442,0.17370718149818465,0.9970061227385844,0.00299387726141567,82.63,99.38,99.64,99.64,17.37,99.7,0.3
