attack,clf,eps_tag,n_total,evasion_rate,vr_all,vr_evading,dr,clf_only_tpr,combined_tpr,etr,evasion_rate_pct,vr_all_pct,vr_evading_pct,dr_pct,clf_only_tpr_pct,combined_tpr_pct,etr_pct
fgsm,mlp,eps0p050,1000,0.554,0.47,0.6750902527075813,0.6750902527075813,0.44599999999999995,0.8200000000000001,0.18,55.4,47.0,67.51,67.51,44.6,82.0,18.0
fgsm,mlp,eps0p100,1000,0.714,0.604,0.7689075630252101,0.7689075630252101,0.28600000000000003,0.8350000000000001,0.16499999999999995,71.4,60.4,76.89,76.89,28.6,83.5,16.5
fgsm,mlp,eps0p300,1000,0.831,0.792,0.914560770156438,0.914560770156438,0.16900000000000004,0.9289999999999999,0.07100000000000002,83.1,79.2,91.46,91.46,16.9,92.9,7.1
fgsm,rf,eps0p050,1000,0.011,0.361,0.5454545454545454,0.5454545454545454,0.989,0.995,0.005,1.1,36.1,54.55,54.55,98.9,99.5,0.5
fgsm,rf,eps0p100,1000,0.012,0.452,0.6666666666666666,0.6666666666666666,0.988,0.996,0.004000000000000001,1.2,45.2,66.67,66.67,98.8,99.6,0.4
fgsm,rf,eps0p300,1000,0.018,0.57,0.8333333333333334,0.8333333333333334,0.982,0.997,0.002999999999999999,1.8,57.0,83.33,83.33,98.2,99.7,0.3
hsj,mlp,n200,200,0.0,0.005,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,100.0,100.0,0.0
hsj,rf,n200,200,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
pgd,mlp,eps0p100,500,0.744,0.704,0.8844086021505376,0.8844086021505376,0.256,0.914,0.08600000000000001,74.4,70.4,88.44,88.44,25.6,91.4,8.6
pgd,mlp,eps0p300,500,0.85,0.842,0.9576470588235294,0.9576470588235294,0.15000000000000002,0.964,0.036000000000000004,85.0,84.2,95.76,95.76,15.0,96.4,3.6
pgd,rf,eps0p100,500,0.012,0.486,0.6666666666666666,0.6666666666666666,0.988,0.996,0.004000000000000001,1.2,48.6,66.67,66.67,98.8,99.6,0.4
pgd,rf,eps0p300,500,0.008,0.696,0.5,0.5,0.992,0.996,0.004,0.8,69.6,50.0,50.0,99.2,99.6,0.4
random,mlp,eps0p050,45332,0.03328774375716933,0.7778611135621636,0.532803180914513,0.532803180914513,0.9667122562428306,0.9844480720021177,0.015551927997882289,3.33,77.79,53.28,53.28,96.67,98.44,1.56
random,mlp,eps0p100,45332,0.04063354804553075,0.8600326480190594,0.7090119435396308,0.7090119435396308,0.9593664519544692,0.988176122827142,0.011823877172858027,4.06,86.0,70.9,70.9,95.94,98.82,1.18
random,mlp,eps0p300,45332,0.09999558810553251,0.9712344480720021,0.9624972424442974,0.9624972424442974,0.9000044118944674,0.9962498897026383,0.003750110297361689,10.0,97.12,96.25,96.25,90.0,99.62,0.38
random,rf,eps0p050,45332,0.010345892526250773,0.7778611135621636,0.67590618336887,0.67590618336887,0.9896541074737493,0.9966469602047119,0.0033530397952880966,1.03,77.79,67.59,67.59,98.97,99.66,0.34
random,rf,eps0p100,45332,0.008294361598870556,0.8600326480190594,0.8164893617021277,0.8164893617021277,0.9917056384011295,0.9984778964087179,0.0015221035912820961,0.83,86.0,81.65,81.65,99.17,99.85,0.15
random,rf,eps0p300,45332,0.01541957116385776,0.9712344480720021,0.9914163090128756,0.9914163090128756,0.9845804288361423,0.9998676431659754,0.00013235683402452938,1.54,97.12,99.14,99.14,98.46,99.99,0.01
